Molecule Name,SMILES,Collections,A. stephenis hand-to-cage repellent testing: Experiment number,A. stephenis hand-to-cage repellent testing: Duration of recording (Min.),A. stephenis hand-to-cage repellent testing: Concentration (µg/cm2),A. stephenis hand-to-cage repellent testing: Evaporation time (Min.),A. stephenis hand-to-cage repellent testing: Compound volume (ml),A. stephenis hand-to-cage repellent testing: Surface (cm2),A. stephenis hand-to-cage repellent testing: Material,A. stephenis hand-to-cage repellent testing: Volunteer,A. stephenis hand-to-cage repellent testing: Volunteer alias,A. stephenis hand-to-cage repellent testing: Test Date,A. stephenis hand-to-cage repellent testing: Repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%) Standard Deviation (±),A. stephenis hand-to-cage repellent testing: Average repellency (%) Count,A. stephenis hand-to-cage repellent testing: Concentration percentage (%)
TQ-0043661,COC=C(C(=O)OC)C(=O)OC,Batch 6.2,22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,7.14,27.5,23.9,6,
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,0,57.5,22.6,12,
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22JKON022,5,,360,1,37.5,cheese cloth,Jessica,D,5/9/2022,63.6,57.5,22.6,12,
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22JKON022,5,,360,1,37.5,cheese cloth,Jessica,D,5/9/2022,45.5,57.5,22.6,12,
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22LBER037,5,,360,1,37.5,Cheese cloth,,A,,75,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22LBER038,5,,360,1,37.5,Cheese cloth,,A,,44.4,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,66.7,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,54.5,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,66.7,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,81.2,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,8-Jun,80,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,70,57.5,22.6,12,0.5
TQ-0043649,CN(C)c1ccc(C#N)cc1,"Batch 6.2, Expansion set 2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,42.3,57.5,22.6,12,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22LBER039,5,,360,1,37.5,Cheese cloth,,A,,28.6,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,60,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,61.5,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,33.3,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,50,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,80.8,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,8-Jun,75,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,66.7,59.5,19,9,0.5
TQ-0043608,CCN(CCC#N)c1ccccc1,"Batch 6 repellents, Expansion set 2",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,80,59.5,19,9,0.5
TQ-0043598,CC(=C)C1CCC(/C=N/O)=CC1,Batch 6 repellents,22LBER037,5,,360,1,37.5,Cheese cloth,,A,,44.4,48.9,15.5,4,0.5
TQ-0043598,CC(=C)C1CCC(/C=N/O)=CC1,Batch 6 repellents,22LBER038,5,,360,1,37.5,Cheese cloth,,A,,66.7,48.9,15.5,4,0.5
TQ-0043598,CC(=C)C1CCC(/C=N/O)=CC1,Batch 6 repellents,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,54.5,48.9,15.5,4,0.5
TQ-0043598,CC(=C)C1CCC(/C=N/O)=CC1,Batch 6 repellents,22LBER047,5,,360,1,37.5,Cheese cloth,,B,,30,48.9,15.5,4,0.5
TQ-0043595,COC(=O)/C=C/c1ccc(C)cc1,Batch 6 repellents,22LBER039,5,,360,1,37.5,Cheese cloth,,A,,42.9,42.3,18.6,5,0.5
TQ-0043595,COC(=O)/C=C/c1ccc(C)cc1,Batch 6 repellents,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,11.1,42.3,18.6,5,0.5
TQ-0043595,COC(=O)/C=C/c1ccc(C)cc1,Batch 6 repellents,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,57.1,42.3,18.6,5,0.5
TQ-0043595,COC(=O)/C=C/c1ccc(C)cc1,Batch 6 repellents,22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,56,42.3,18.6,5,0.5
TQ-0043595,COC(=O)/C=C/c1ccc(C)cc1,Batch 6 repellents,22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,44.4,42.3,18.6,5,0.5
TQ-0043594,COC(=O)c1scc(C)c1N,Batch 6 repellents,22LBER039,5,,360,1,37.5,Cheese cloth,,A,,43.8,40,25.8,3,0.5
TQ-0043594,COC(=O)c1scc(C)c1N,Batch 6 repellents,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,12.5,40,25.8,3,0.5
TQ-0043594,COC(=O)c1scc(C)c1N,Batch 6 repellents,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,63.6,40,25.8,3,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,80,71.2,21.5,12,
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,81.2,71.2,21.5,12,
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,78.8,71.2,21.5,12,
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22LBER037,5,,360,1,37.5,Cheese cloth,,A,,50,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22LBER038,5,,360,1,37.5,Cheese cloth,,A,,77.8,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,75,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,16.7,71.2,21.5,12,0.5
TQ-0043590,CC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Batch 6 repellents, Expansion set 4, Tested on Culex",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,66.7,71.2,21.5,12,0.5
