Molecule Name,SMILES,Collections,A. stephenis hand-to-cage repellent testing: Experiment number,A. stephenis hand-to-cage repellent testing: Duration of recording (Min.),A. stephenis hand-to-cage repellent testing: Concentration (µg/cm2),A. stephenis hand-to-cage repellent testing: Evaporation time (Min.),A. stephenis hand-to-cage repellent testing: Compound volume (ml),A. stephenis hand-to-cage repellent testing: Surface (cm2),A. stephenis hand-to-cage repellent testing: Material,A. stephenis hand-to-cage repellent testing: Volunteer,A. stephenis hand-to-cage repellent testing: Volunteer alias,A. stephenis hand-to-cage repellent testing: Test Date,A. stephenis hand-to-cage repellent testing: Repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%) Standard Deviation (±),A. stephenis hand-to-cage repellent testing: Average repellency (%) Count,A. stephenis hand-to-cage repellent testing: Concentration percentage (%)
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,31.6,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,41.2,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,50,47,35.7,6,
TQ-0043867,CC(=O)OCCOCOC(C)=O,"Batch 7 repellents, Expansion set 2",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,71.4,64,12.1,3,0.5
TQ-0043867,CC(=O)OCCOCOC(C)=O,"Batch 7 repellents, Expansion set 2",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,50,64,12.1,3,0.5
TQ-0043867,CC(=O)OCCOCOC(C)=O,"Batch 7 repellents, Expansion set 2",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,70.6,64,12.1,3,0.5
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,92.9,95.7,3.97,6,
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,90,95.7,3.97,6,
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,96.6,95.7,3.97,6,
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,95,95.7,3.97,6,0.5
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,100,95.7,3.97,6,0.5
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,100,95.7,3.97,6,0.5
TQ-0043863,CCCCCc1ccc(C(C)=O)cc1,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,80,80.6,5.85,3,0.5
TQ-0043863,CCCCCc1ccc(C(C)=O)cc1,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,86.7,80.6,5.85,3,0.5
TQ-0043863,CCCCCc1ccc(C(C)=O)cc1,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,75,80.6,5.85,3,0.5
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,100,99.2,2.04,6,
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,95,99.2,2.04,6,
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,100,99.2,2.04,6,
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,3-Aug,100,99.2,2.04,6,0.5
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,3-Aug,100,99.2,2.04,6,0.5
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,100,99.2,2.04,6,0.5
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,7.69,22.6,17,7,
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,7.69,22.6,17,7,
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,50,22.6,17,7,
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,40,22.6,17,7,0.5
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,11.1,22.6,17,7,0.5
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,28,22.6,17,7,0.5
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,13.6,22.6,17,7,0.5
TQ-0043843,COC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,6.67,-6.11,55.3,3,0.5
TQ-0043843,COC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,-66.7,-6.11,55.3,3,0.5
TQ-0043843,COC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,41.7,-6.11,55.3,3,0.5
TQ-0043842,CC(=O)c1ccccc1[N+]([O-])=O,Batch 7 repellents,22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,100,98.9,1.7,6,
TQ-0043842,CC(=O)c1ccccc1[N+]([O-])=O,Batch 7 repellents,22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,96.3,98.9,1.7,6,
TQ-0043842,CC(=O)c1ccccc1[N+]([O-])=O,Batch 7 repellents,22JKON023,5,,360,1,37.5,cheese cloth,Jessica,D,6/9/2022,97.2,98.9,1.7,6,
TQ-0043842,CC(=O)c1ccccc1[N+]([O-])=O,Batch 7 repellents,22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,100,98.9,1.7,6,0.5
TQ-0043842,CC(=O)c1ccccc1[N+]([O-])=O,Batch 7 repellents,22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,100,98.9,1.7,6,0.5
TQ-0043842,CC(=O)c1ccccc1[N+]([O-])=O,Batch 7 repellents,22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,100,98.9,1.7,6,0.5
TQ-0043841,[O-][N+](=O)c1ccc(C=O)c([N+]([O-])=O)c1,"Batch 7 repellents, Tested on Culex",22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,66.7,74.8,12.6,6,
TQ-0043841,[O-][N+](=O)c1ccc(C=O)c([N+]([O-])=O)c1,"Batch 7 repellents, Tested on Culex",22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,12-okt,87.5,74.8,12.6,6,
TQ-0043841,[O-][N+](=O)c1ccc(C=O)c([N+]([O-])=O)c1,"Batch 7 repellents, Tested on Culex",22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,91.3,74.8,12.6,6,
TQ-0043841,[O-][N+](=O)c1ccc(C=O)c([N+]([O-])=O)c1,"Batch 7 repellents, Tested on Culex",22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,62.5,74.8,12.6,6,
TQ-0043841,[O-][N+](=O)c1ccc(C=O)c([N+]([O-])=O)c1,"Batch 7 repellents, Tested on Culex",22JKON033,5,,360,1,37.5,cheese cloth,Jessica,D,19-9-2022,63.2,74.8,12.6,6,
TQ-0043841,[O-][N+](=O)c1ccc(C=O)c([N+]([O-])=O)c1,"Batch 7 repellents, Tested on Culex",22JKON033,5,,360,1,37.5,cheese cloth,Jessica,D,19-9-2022,77.8,74.8,12.6,6,
TQ-0043828,CCCCOc1c(OCCCC)c(=O)c1=O,Batch 7 repellents,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,50,13.4,25.2,6,
TQ-0043828,CCCCOc1c(OCCCC)c(=O)c1=O,Batch 7 repellents,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,12-okt,20,13.4,25.2,6,
TQ-0043828,CCCCOc1c(OCCCC)c(=O)c1=O,Batch 7 repellents,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,25,13.4,25.2,6,
TQ-0043828,CCCCOc1c(OCCCC)c(=O)c1=O,Batch 7 repellents,22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,15.4,13.4,25.2,6,
TQ-0043828,CCCCOc1c(OCCCC)c(=O)c1=O,Batch 7 repellents,22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,-18.2,13.4,25.2,6,
TQ-0043828,CCCCOc1c(OCCCC)c(=O)c1=O,Batch 7 repellents,22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,-12,13.4,25.2,6,
TQ-0043820,CCO/C(C)=C(\C#N)C(=O)OCC,"Batch 7 repellents, Tested on Culex",22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,71.4,79.4,15.2,6,
TQ-0043820,CCO/C(C)=C(\C#N)C(=O)OCC,"Batch 7 repellents, Tested on Culex",22JKON022,5,,360,1,37.5,cheese cloth,Jessica,D,5/9/2022,76.5,79.4,15.2,6,
TQ-0043820,CCO/C(C)=C(\C#N)C(=O)OCC,"Batch 7 repellents, Tested on Culex",22JKON022,5,,360,1,37.5,cheese cloth,Jessica,D,5/9/2022,100,79.4,15.2,6,
TQ-0043820,CCO/C(C)=C(\C#N)C(=O)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,3-Aug,93.3,79.4,15.2,6,0.5
TQ-0043820,CCO/C(C)=C(\C#N)C(=O)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,3-Aug,57.9,79.4,15.2,6,0.5
TQ-0043820,CCO/C(C)=C(\C#N)C(=O)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,77.3,79.4,15.2,6,0.5
TQ-0043810,O=C(c1ccccc1)c1ccncc1,"Batch 7 repellents, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,88.9,89.1,3.21,6,
TQ-0043810,O=C(c1ccccc1)c1ccncc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,90.9,89.1,3.21,6,0.5
TQ-0043810,O=C(c1ccccc1)c1ccncc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,92.9,89.1,3.21,6,0.5
TQ-0043810,O=C(c1ccccc1)c1ccncc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,88.9,89.1,3.21,6,0.5
TQ-0043810,O=C(c1ccccc1)c1ccncc1,"Batch 7 repellents, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,90,89.1,3.21,6,
TQ-0043810,O=C(c1ccccc1)c1ccncc1,"Batch 7 repellents, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,83.3,89.1,3.21,6,
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,13.6,36,11.5,7,
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,33.3,36,11.5,7,
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,50,36,11.5,7,
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,40,36,11.5,7,0.5
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,33.3,36,11.5,7,0.5
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,37.5,36,11.5,7,0.5
TQ-0043808,CN(C)c1cccc(CO)c1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,10-Aug,44.1,36,11.5,7,0.5
TQ-0043807,CC1CN(Cc2ccccc2)CCC1=O,"Batch 7 repellents, Tested on Culex",22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,83.3,76.9,11.8,6,
TQ-0043807,CC1CN(Cc2ccccc2)CCC1=O,"Batch 7 repellents, Tested on Culex",22JKON033,5,,360,1,37.5,cheese cloth,Jessica,D,19-9-2022,77.8,76.9,11.8,6,
TQ-0043807,CC1CN(Cc2ccccc2)CCC1=O,"Batch 7 repellents, Tested on Culex",22JKON033,5,,360,1,37.5,cheese cloth,Jessica,D,19-9-2022,56,76.9,11.8,6,
TQ-0043807,CC1CN(Cc2ccccc2)CCC1=O,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,77.8,76.9,11.8,6,0.5
TQ-0043807,CC1CN(Cc2ccccc2)CCC1=O,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,75,76.9,11.8,6,0.5
TQ-0043807,CC1CN(Cc2ccccc2)CCC1=O,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,91.7,76.9,11.8,6,0.5
TQ-0043805,CN(C)c1ccc(C=O)cc1,"Analogs, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,0,6.43,7.25,3,
TQ-0043805,CN(C)c1ccc(C=O)cc1,"Analogs, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,5,6.43,7.25,3,
TQ-0043805,CN(C)c1ccc(C=O)cc1,"Analogs, Tested on Culex",23JKON051,130,,5,1,37.5,Cheese cloth,Jessica,D,21-7-2023,14.3,6.43,7.25,3,
TQ-0043794,CCN(CC)c1ccc(C#N)cc1,"Analogs, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,91.3,61.2,53,3,
TQ-0043794,CCN(CC)c1ccc(C#N)cc1,"Analogs, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,92.3,61.2,53,3,
TQ-0043794,CCN(CC)c1ccc(C#N)cc1,"Analogs, Tested on Culex",23JKON051,130,,5,1,37.5,Cheese cloth,Jessica,D,21-7-2023,0,61.2,53,3,
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,100,90.3,9.7,12,
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,93.3,90.3,9.7,12,
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,88.2,90.3,9.7,12,
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER042,5,,360,1,37.5,Cheese cloth,,A,,90.9,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,100,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,87.5,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,91.7,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,62.5,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,92.6,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,8-Jun,94.7,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,87.5,90.3,9.7,12,0.5
TQ-0043768,CC(=O)C1C(=O)OC(C)=CC1=O,"Batch 6.2, Glomeruli Aedes, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,94.4,90.3,9.7,12,0.5
TQ-0043739,CSc1ccc(CO)cc1,Batch 6.2,22LBER042,5,,360,1,37.5,Cheese cloth,,A,,38.5,-40.2,69.8,5,0.5
TQ-0043739,CSc1ccc(CO)cc1,Batch 6.2,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,-81.8,-40.2,69.8,5,0.5
TQ-0043739,CSc1ccc(CO)cc1,Batch 6.2,22LBER045,5,,360,1,37.5,Cheese cloth,,A,,33.3,-40.2,69.8,5,0.5
TQ-0043739,CSc1ccc(CO)cc1,Batch 6.2,22LBER047,5,,360,1,37.5,Cheese cloth,,B,,-100,-40.2,69.8,5,0.5
TQ-0043739,CSc1ccc(CO)cc1,Batch 6.2,22LBER047,5,,360,1,37.5,Cheese cloth,,B,,-90.9,-40.2,69.8,5,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,63.6,70.9,23.3,12,
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,35.3,70.9,23.3,12,
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,75,70.9,23.3,12,
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22LBER039,5,,360,1,37.5,Cheese cloth,,A,,33.3,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22LBER042,5,,360,1,37.5,Cheese cloth,,A,,65,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,50,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22MVLO318,5,,360,1,37.5,Cheese cloth,,C,31-May-22,88.9,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22MVLO319,5,,360,1,37.5,Cheese cloth,,C,1-Jun-22,61.5,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22MVLO320,5,,360,1,37.5,Cheese cloth,,C,3-Jun,85.7,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,14-Jun,100,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,96.6,70.9,23.3,12,0.5
TQ-0043718,CCCCn1sc2ccccc2c1=O,"Batch 6.2, Tested on Culex",22RHEN032,5,,360,1,37.5,Cheese cloth,,B,,96.2,70.9,23.3,12,0.5
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,14.3,28.4,20.4,8,
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,46.7,28.4,20.4,8,
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22JKON004,5,130,360,1,37.5,cheese cloth,Jessica,D,15-8-2022,29.4,28.4,20.4,8,
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22LBER042,5,,360,1,37.5,Cheese cloth,,A,,57.1,28.4,20.4,8,0.5
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22LBER045,5,,360,1,37.5,Cheese cloth,,A,,0,28.4,20.4,8,0.5
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22LBER045,5,,360,1,37.5,Cheese cloth,,A,,5.26,28.4,20.4,8,0.5
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,31.8,28.4,20.4,8,0.5
TQ-0043710,CCC1=C(C)CNC1=O,"Batch 6.2, Tested on Culex",22RHEN034,5,,360,1,37.5,Cheese cloth,,B,,42.9,28.4,20.4,8,0.5
TQ-0043708,CC/C=C(\C)C(O)=O,Batch 6.2,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,-10,15,22.9,3,0.5
TQ-0043708,CC/C=C(\C)C(O)=O,Batch 6.2,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,20,15,22.9,3,0.5
TQ-0043708,CC/C=C(\C)C(O)=O,Batch 6.2,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,35,15,22.9,3,0.5
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,30,4.98,30.6,9,
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,12-okt,50,4.98,30.6,9,
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22RHEN055,5,130,360,,37.5,Cheese cloth,Rob,B,11-okt,0,4.98,30.6,9,
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,22.7,4.98,30.6,9,
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,3.57,4.98,30.6,9,
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,23.5,4.98,30.6,9,
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22LBER039,5,,360,1,37.5,Cheese cloth,,A,,-25,4.98,30.6,9,0.5
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22LBER046,5,,360,1,37.5,Cheese cloth,,A,,-10,4.98,30.6,9,0.5
TQ-0043703,CC(=O)OCOC(COC(C)=O)COC(C)=O,Batch 6.2,22LBER046,5,,360,1,37.5,Cheese cloth,,A,,-50,4.98,30.6,9,0.5
TQ-0043694,CCOC(=O)C1CCCNC1=O,"Batch 6.2, Glomeruli Aedes",22LBER039,5,,360,1,37.5,Cheese cloth,,A,,-42.9,-8.54,27.6,5,0.5
TQ-0043694,CCOC(=O)C1CCCNC1=O,"Batch 6.2, Glomeruli Aedes",22LBER046,5,,360,1,37.5,Cheese cloth,,A,,-28.6,-8.54,27.6,5,0.5
TQ-0043694,CCOC(=O)C1CCCNC1=O,"Batch 6.2, Glomeruli Aedes",22LBER047,5,,360,1,37.5,Cheese cloth,,A,,-6.25,-8.54,27.6,5,0.5
TQ-0043694,CCOC(=O)C1CCCNC1=O,"Batch 6.2, Glomeruli Aedes",22LBER047,5,,360,1,37.5,Cheese cloth,,B,,10,-8.54,27.6,5,0.5
TQ-0043694,CCOC(=O)C1CCCNC1=O,"Batch 6.2, Glomeruli Aedes",22LBER047,5,,360,1,37.5,Cheese cloth,,B,,25,-8.54,27.6,5,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22JKON029,5,,360,1,37.5,cheese cloth,Jessica,D,12/9/2022,100,94.5,8.28,13,
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22JKON022,5,,360,1,37.5,cheese cloth,Jessica,D,5/9/2022,88.9,94.5,8.28,13,
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22JKON022,5,,360,1,37.5,cheese cloth,Jessica,D,5/9/2022,95,94.5,8.28,13,
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22LBER042,5,,360,1,37.5,Cheese cloth,,A,,100,94.5,8.28,13,0.5
TQ-0043689,CCOC(C)=C(C#N)C#N,"Batch 6.2, Tested on Culex",22LBER044,5,,360,1,37.5,Cheese cloth,,A,,100,94.5,8.28,13,0.5
